msa,saudi,egyptian,iraqi,levantine,moroccan
ساحجز رحلتي عبر الانترنت لتوفير الوقت.,راح احجز رحلتي عن طريق النت عشان اوفر وقت.,هحجز رحلتي عن طريق النت عشان اوفر وقت.,راح احجز سفري عن طريق النت حتي اوفر وقت.,رح احجز سفري عن طريق النت مشان وفر وقت.,غادي نحجز سفري عن طريق الانترنت باش نوفر الوقت.
ابحث عن فندق بخدمه واي فاي مجانيه.,ادوّر عن فندق فيه خدمه واي فاي مجانيه.,بدوّر علي فندق فيه خدمه واي فاي مجانيه.,ادوّر علي فندق بي خدمه واي فاي بلاش.,عم دوّر علي فندق فيه خدمه واي فاي مجانيه.,كنقلّب علي اوطيل فيه خدمه واي فاي مجانيه.
هل يمكنني تغيير موعد رحلتي؟,هل اقدر اغير موعد رحلتي؟,ينفع اغير معاد رحلتي؟,اگدر اغير موعد سفري؟,فيني غيّر موعد سفري؟,واش نقدر نبدل موعد الرحله ديالي؟
اريد استكشاف الثقافه المحليه لهذا البلد.,ابغي اكتشف ثقافه البلد ذي.,انا عايز اكتشف ثقافه البلد دي.,اريد اكتشف ثقافه البلد هاي.,بدي اكتشف ثقافه البلد هي.,بغيت نكتشف ثقافه هاد لبلاد.
ما هي تكلفه جوله سياحيه في المدينه؟,كم تكلفه جوله سياحيه في المدينه؟,كام تكلفه جوله سياحيه في المدينه؟,ايش قد تكلفه جوله سياحيه بالمدينه؟,قديش تكلفه جوله سياحيه بالمدينه؟,شحال تمن جوله سياحيه ف المدينه؟
احتاج الي خريطه للمدينه.,احتاج خريطه للمدينه.,انا محتاج خريطه للمدينه.,اريد خريطه للمدينه.,بدي خريطه للمدينه.,بغيت خريطه للمدينه.
هل يوجد مكتب استعلامات سياحيه هنا؟,فيه مكتب معلومات سياحيه هنا؟,فيه مكتب استعلامات سياحيه هنا؟,اكو مكتب معلومات سياحيه هنا؟,في مكتب معلومات سياحيه هون؟,واش كاين شي مكتب د لمعلومات السياحيه هنا؟
اريد زياره المتاحف والمعالم التاريخيه.,ابغي ازور المتاحف والمعالم التاريخيه.,انا عايز ازور المتاحف والمعالم الاثريه.,اريد ازور المتاحف والمعالم التاريخيه.,بدي زور المتاحف والمعالم التاريخيه.,بغيت نزور المتاحف والمعالم التاريخيه.
ساسافر بالقطار لانه ارخص.,بسافر بالقطار لانه ارخص.,هسافر بالقطر لانه ارخص.,راح اسافر بالقطار لانه ارخص.,رح سافر بالقطار لانه ارخص.,غادي نسافر بالطرين حيتاش رخيص.
افضل السفر في فصل الربيع.,افضل اسافر في فصل الربيع.,انا بحب اسافر في الربيع.,افضل اسافر بربيع.,بفضل سافر بفصل الربيع.,كنفضل نسافر ف فصل الربيع.
الرحله كانت طويله ومتعبه.,الرحله كانت طويله ومتعبه.,الرحله كانت طويله ومتعبه.,الرحله چانت طويله ومتعبه.,الرحله كانت طويله ومتعبه.,الرحله كانت طويله ومتعبه.
استمتعت بالمناظر الطبيعيه الخلابه.,استمتعت بالمناظر الطبيعيه الخلابه.,استمتعت بالمناظر الطبيعيه الخلابه.,استمتعت بالمناظر الطبيعيه الخلابه.,استمتعت بالمناظر الطبيعيه الخلابه.,استمتعت بالمناظر الطبيعيه الخلابه.
اريد تجربه الطعام التقليدي.,ابغي اجرب الاكل الشعبي.,انا عايز اجرب الاكل البلدي.,اريد اجرب الاكل الشعبي.,بدي جرب الاكل البلدي.,بغيت نجرب الماكله التقليديه.
هل تتحدث الانجليزيه؟,تتكلم انجليزي؟,بتتكلم انجليزي؟,تحجي انجليزي؟,بتحكي انجليزي؟,واش كتهضر نڭليزيه؟
اين يمكنني صرف العملات؟,وين اقدر اصرف فلوس؟,فين ممكن اغير فلوس؟,وين اكدر اصرف فلوس؟,وين فيني صرّف مصاري؟,فين نقدر نصرف لفلوس؟
ما هي العمله المحليه هنا؟,وش العمله المحليه هنا؟,ايه العمله المحليه هنا؟,شنو العمله المحليه هنا؟,شو العمله المحليه هون؟,شنو العمله المحليه هنا؟
